,sim2,sim2_shift
9381,-1.2373546345192175,6.858120038996401
9380,0.3141514620622696,8.409626135577888
9378,-6.007260892951047,2.0882137805645717
9371,-6.521830463189116,1.5736442103265027
9367,-1.2986568092974469,6.796817864218172
9363,-4.780073302489201,3.315401371026418
9356,-1.8634549684069581,6.2320197051086605
9355,-0.5528213893384937,7.542653284177125
9354,-2.5081691552902727,5.587305518225346
9353,-5.349801594403447,2.745673079112172
9352,-7.095474673515619,1.0
9351,3.896503149224643,11.991977822740262
9344,-4.583810345619309,3.51166432789631
9343,-0.8074786583544769,7.287996015161141
9339,-0.08718793858503648,8.008286734930582
9336,3.496618969078532,11.59209364259415
9332,2.3699768428450865,10.465451516360705
9323,0.5586328226123396,8.654107496127958
9321,4.938402911132296,13.033877584647914
9482,7.693829827650503,15.789304501166121
9481,,
9472,2.102622034381474,10.198096707897093
9471,1.6057287220574095,9.701203395573028
9470,5.280333893558682,13.375808567074301
9469,,
9455,-6.559409098267273,1.5360655752483456
9454,-1.5996205038229812,6.495854169692637
9453,-3.8191045878134835,4.276370085702135
9451,0.35163409407397683,8.447108767589596
9419,5.235206444919676,13.330681118435294
9418,-3.6772079333093544,4.418266740206264
9409,3.313828849257953,11.409303522773572
9402,6.251889916396404,14.347364589912022
9369,-5.802563708749622,2.292910964765997
9349,5.38857800087452,13.484052674390139
9476,-2.926667306259282,5.168807367256337
9433,-3.519640071565063,4.575834601950556
9446,-1.3687935107651041,6.7266811627505145
9443,0.0009762751963711125,8.09645094871199
9442,-2.9147229737204743,5.180751699795144
997,8.572563503079174,16.66803817659479
996,,
1068,1.5394864186522887,9.634961092167908
1026,10.853769284581098,18.949243958096716
1585,1.0052432501701656,9.100717923685785
1435,4.224718304355982,12.320192977871601
1169,0.24795396320532248,8.34342863672094
1075,0.9430173287142778,9.038492002229896
1132,8.805229738825162,16.90070441234078
1064,0.3688787492085437,8.464353422724162
1063,-0.7066466007305858,7.388828072785033
1062,3.2649697156591255,11.360444389174745
1247,6.094267834910469,14.189742508426088
991,2.0619134244414328,10.157388097957051
1391,2.4292755023372474,10.524750175852866
1374,0.05449573621999426,8.149970409735612
1318,,
1254,,
1163,-1.4195267228964,6.675947950619219
1153,7.326926057988456,15.422400731504075
1073,8.245400785331443,16.340875458847062
1072,,
394,1.6418465092249739,9.737321182740592
7,,
203,5.312925744998607,13.408400418514226
236,1.703122529494527,9.798597203010146
367,,
123,-0.2821970984420086,7.81327757507361
395,-1.8811704865217103,6.214304186993909
196,5.309486400485189,13.404961074000807
264,3.576713574714538,11.672188248230157
185,7.382954748757517,15.478429422273136
297,6.481385286230622,14.57685995974624
318,5.268658274682093,13.364132948197712
323,,
79,,
198,12.511668585113462,20.60714325862908
371,2.3384282621725503,10.433902935688169
280,3.400482496042043,11.495957169557661
12,-5.362369413292902,2.7331052602227164
347,6.879261873179421,14.97473654669504
268,1.015850198178032,9.11132487169365
288,7.141517218829544,15.236991892345163
377,6.200973134926416,14.296447808442036
252,-2.0286017028646928,6.066872970650926
296,2.9084019906701677,11.003876664185785
341,4.071942730310093,12.167417403825713
156,3.302574112626428,11.398048786142047
397,-0.9914616809248704,7.104012992590748
263,0.5693298492665756,8.664804522782195
48,-1.7459563041420703,6.349518369373548
45,,
210,2.297872238873036,10.393346912388655
83,2.301405131003,10.396879804518619
372,,
393,4.643891958024572,12.73936663154019
205,1.0819431148713408,9.17741778838696
87,3.0174965053029252,11.112971178818544
62,1.1185988444911956,9.214073518006813
309,-3.321706359264523,4.773768314251096
222,5.965187251225378,14.060661924740996
160,0.4030666905221574,8.498541364037777
229,,
369,3.6222682965635555,11.717742970079174
227,4.4837164539852425,12.579191127500861
230,1.9600059553015026,10.055480628817122
217,1.883444619961971,9.97891929347759
194,,
391,-0.8528761008347798,7.242598572680839
340,7.550533521418757,15.646008194934375
167,,
266,,
208,,
335,-1.344248173302771,6.751226500212848
213,6.784383851377896,14.879858524893514
388,8.289548105250319,16.385022778765936
331,0.5772859165779218,8.67276059009354
216,,
277,5.0201493591869175,13.115624032702536
85,-3.4924010536307692,4.603073619884849
310,4.580169584815416,12.675644258331035
389,5.3802355629871075,13.475710236502726
387,0.44658539057419744,8.542060064089817
191,-0.011959360175723965,8.083515313339895
224,22.675328051307876,30.770802724823493
82,,
225,-1.5603871249054146,6.535087548610204
295,,
169,-0.3559002260428381,7.739574447472781
375,2.2249558746681313,10.32043054818375
292,-0.7671516007485966,7.328323072767022
215,,
337,6.868277121876034,14.963751795391651
320,-2.85791853249735,5.237556141018269
171,,
346,4.497239439025565,12.592714112541184
151,5.991422557723049,14.086897231238668
137,-1.8315701211679443,6.263904552347674
291,2.595924524950606,10.691399198466225
385,3.8358086769292745,11.931283350444893
84,4.286525944827907,12.382000618343525
349,6.453864443283624,14.549339116799242
219,0.9393505680003367,9.034825241515955
322,1.8731360991650954,9.968610772680714
204,,
273,,
212,2.680089565603412,10.775564239119031
146,0.9299627282307501,9.02543740174637
348,2.2954619752821044,10.390936648797723
157,6.189438584560914,14.284913258076532
214,4.888569221605525,12.984043895121143
316,6.924790507711394,15.020265181227012
186,-1.0791897543917357,7.016284919123883
314,,
293,3.325949858601318,11.421424532116937
183,0.3273181199220905,8.42279279343771
287,2.3873978416999044,10.482872515215522
290,,
168,1.866687262169139,9.962161935684758
343,,
153,-3.0334307901412014,5.062043883374417
339,5.121400697828587,13.216875371344205
60,-0.8893963619927967,7.2060783115228215
174,2.8621839759681125,10.957658649483731
88,,
359,1.8096526454215438,9.905127318937163
298,,
162,-1.0250599641764282,7.0704147093391905
311,8.006904347175617,16.102379020691235
329,2.325998468127084,10.421473141642704
175,,
163,-0.7756437949361779,7.319830878579441
77,-2.7534089874128025,5.342065686102816
302,-3.311288347406684,4.784186326108935
231,4.183811225184863,12.279285898700483
148,2.0355425231175066,10.131017196633126
106,,
283,5.212227453440592,13.307702126956212
184,,
122,1.54079894771926,9.636273621234878
170,,
396,,
275,2.3533787509439854,10.448853424459603
244,,
116,,
364,,
121,5.652531786370443,13.748006459886062
165,2.7328442457097593,10.828318919225378
32,,
201,2.175625110112616,10.271099783628234
326,3.783263457500576,11.878738131016195
368,,
332,11.023833084611294,19.11930775812691
361,-1.8334282677991405,6.262046405716478
202,8.340863710496487,16.436338384012107
200,6.233995199268427,14.329469872784045
257,-0.9758849534746957,7.119589720040923
80,4.741190012827857,12.836664686343475
9,,
187,1.5390681148403178,9.634542788355937
89,3.8934919867857207,11.98896666030134
207,1.8841828688405213,9.97965754235614
69,-5.252220813830856,2.8432538596847623
188,7.672531630934234,15.768006304449852
306,,
360,3.7805957492436866,11.876070422759305
237,-4.022150344587319,4.0733243289283
327,,
261,,
86,2.2180624988823237,10.313537172397943
228,,
190,1.764056928117309,9.859531601632927
74,0.2156653589826969,8.311140032498315
8,,
4,-2.9731370984240195,5.122337575091599
159,11.024357697181024,19.119832370696642
262,,
51,-3.928100049872638,4.1673746236429805
5,6.384731974527902,14.48020664804352
363,3.5988658588357705,11.69434053235139
338,9.61825656648227,17.713731239997887
355,,
269,2.2366928699066797,10.332167543422297
278,,
179,5.2851538986606545,13.380628572176274
6,,
206,,
461,,
466,5.182728411914221,13.27820308542984
9490,-0.9868360236206444,7.108638649894974
9496,2.7638866212665856,10.859361294782204
9504,-1.8168073383944685,6.27866733512115
9499,2.150103695500853,10.24557836901647
9308,11.952800656448698,20.048275329964316
9305,4.573678842161618,12.669153515677237
9302,6.743755292177286,14.839229965692905
9309,4.369319943277484,12.464794616793103
4980,-1.059331016956307,7.036143656559312
5444,3.7640768806370755,11.859551554152695
5394,-0.584920201100172,7.510554472415446
5461,2.0750596533360977,10.170534326851715
5494,,
5398,-0.4118683814866655,7.683606292028953
5466,-1.7221577859374984,6.37331688757812
5450,7.687762891127626,15.783237564643244
4675,,
4632,-0.9348268225351726,7.160647850980446
5769,-0.2326305633235517,7.862844110192067
4757,1.1972569163613553,9.292731589876974
4827,6.364964719097144,14.460439392612763
4820,0.1876326855852215,8.283107359100839
5159,1.8223260647282553,9.917800738243875
5759,9.84940847318259,17.94488314669821
5739,,
5738,2.086769019138158,10.182243692653778
5770,,
5826,-0.5239926353947106,7.571482038120908
5745,1.642651786032301,9.738126459547919
5744,,
5774,,
5760,2.253356236208405,10.348830909724024
5746,4.060703901622753,12.156178575138371
5762,7.578417151555711,15.67389182507133
5711,5.915538996278989,14.011013669794607
5802,2.1609433382129977,10.256418011728616
5740,1.1560436266673801,9.251518300183
5716,-0.04879348973006703,8.046681183785552
5772,,
5722,,
5751,0.2748667816453727,8.370341455160991
5721,-0.4722292957266353,7.623245377788983
5812,-3.651822821467042,4.443651852048577
5792,,
5735,4.825914154756397,12.921388828272015
5767,-0.2835886338046114,7.811886039711007
5817,,
5807,-1.2368725962189824,6.858602077296636
5777,,
5736,,
5763,1.4279167253468101,9.52339139886243
5813,,
5741,3.7869547854768015,11.88242945899242
5731,3.812237413776969,11.907712087292587
5819,,
5724,2.544325995042273,10.639800668557893
5789,-0.6876471165434743,7.407827556972144
5141,6.193350604505364,14.288825278020983
5175,-2.56993799668874,5.525536676826879
5145,4.0621607390389975,12.157635412554615
5469,4.579624518430381,12.675099191946
5106,,
5299,-1.9491876656560514,6.146287007859567
5335,-1.659618669658478,6.435856003857141
7121,,
7106,1.907470390082597,10.002945063598215
7104,1.4909186027172796,9.586393276232899
7113,,
7116,-0.1506527140588494,7.944821959456769
7149,1.5141243214810491,9.609598994996668
7228,7.397110468944045,15.492585142459664
7301,9.352304430272982,17.4477791037886
7109,-6.366006069150817,1.7294686043648015
6987,1.0498939855723697,9.145368659087989
7028,,
7029,0.5834244513338371,8.678899124849455
7030,3.402188344024621,11.49766301754024
7013,-3.9569091806659964,4.138565492849622
7017,,
7032,1.7829027613505932,9.878377434866213
7073,,
242,3.1122430603468167,11.207717733862435
104,5.157149647820191,13.252624321335809
282,,
96,-0.12065276879667675,7.974821904718942
23,1.5570390697671486,9.652513743282768
6102,,
6938,3.0696187632204293,11.165093436736047
8304,2.0149300085713255,10.110404682086944
8238,0.146906649636529,8.242381323152149
8386,,
8348,4.899978280992239,12.995452954507858
1416,,
6237,-1.349047198877396,6.746427474638223
6226,-3.3967532253901402,4.698721448125479
6184,5.924843892870743,14.020318566386361
6174,-2.92516435258589,5.170310320929729
6172,-0.7950904025234147,7.300384270992204
6171,4.6646637148976975,12.760138388413317
6170,1.1692543336157897,9.264729007131407
6151,,
6150,,
6149,6.245694124444538,14.341168797960156
6148,0.01694467429119495,8.112419347806814
6147,-0.4618689441964774,7.633605729319141
6146,2.2904808944961568,10.385955568011775
6145,0.377748546423643,8.47322321993926
6144,,
